work_year,experience_level,employment_type,job_title,salary_in_usd,company_size,work_type,country,job_category
2024,Senior Level,Full Time,Data Engineer,131500,Medium,Onsite,United States,Data Engineer
2024,Senior Level,Full Time,AI Engineer,205000,Medium,Onsite,United States,AI Engineer
2024,Senior Level,Full Time,AI Engineer,140000,Medium,Onsite,United States,AI Engineer
2024,Mid Level,Full Time,Business Intelligence,103798,Medium,Onsite,Canada,BI Analyst
2024,Mid Level,Full Time,Business Intelligence,83038,Medium,Onsite,Canada,BI Analyst
2024,Mid Level,Full Time,Data Engineer,149600,Medium,Onsite,United States,Data Engineer
2024,Mid Level,Full Time,Data Engineer,90200,Medium,Onsite,United States,Data Engineer
2024,Senior Level,Full Time,Data Engineer,170640,Medium,Remote,United States,Data Engineer
2024,Senior Level,Full Time,Data Engineer,73008,Medium,Remote,United States,Data Engineer
2024,Senior Level,Full Time,Data Engineer,210900,Medium,Onsite,United States,Data Engineer
2024,Senior Level,Full Time,Data Analyst,157476,Medium,Remote,United States,Data Analyst
2024,Senior Level,Full Time,Data Analyst,104981,Medium,Remote,United States,Data Analyst
2024,Senior Level,Full Time,Data Scientist,225600,Medium,Onsite,United States,Data Scientist
2024,Senior Level,Full Time,Data Scientist,146900,Medium,Onsite,United States,Data Scientist
2024,Mid Level,Full Time,Data Scientist,425000,Medium,Onsite,United States,Data Scientist
2024,Entry Level,Full Time,Data Scientist,105000,Medium,Onsite,United States,Data Scientist
2024,Entry Level,Full Time,Data Scientist,45000,Medium,Onsite,United States,Data Scientist
2024,Mid Level,Full Time,Data Analyst,117000,Medium,Onsite,United States,Data Analyst
2024,Senior Level,Full Time,Business Intelligence,194000,Medium,Onsite,United States,BI Analyst
2024,Senior Level,Full Time,Business Intelligence,129000,Medium,Onsite,United States,BI Analyst
2024,Entry Level,Full Time,Data Analyst,185100,Medium,Onsite,United States,Data Analyst
2024,Senior Level,Full Time,Machine Learning Developer,465000,Medium,Onsite,United States,Machine Learning Engineer
2024,Senior Level,Full Time,Machine Learning Developer,323000,Medium,Onsite,United States,Machine Learning Engineer
2024,Senior Level,Full Time,Machine Learning Manager,346300,Medium,Onsite,United States,Machine Learning Engineer
2024,Senior Level,Full Time,Machine Learning Manager,230500,Medium,Onsite,United States,Machine Learning Engineer
2024,Executive Level,Full Time,Data Engineer,336001,Medium,Remote,United States,Data Engineer
2024,Executive Level,Full Time,Data Engineer,201601,Medium,Remote,United States,Data Engineer
2024,Mid Level,Full Time,Data Engineer,150700,Medium,Onsite,United States,Data Engineer
2024,Mid Level,Full Time,Data Engineer,87400,Medium,Onsite,United States,Data Engineer
2024,Mid Level,Full Time,Business Intelligence,75000,Medium,Remote,United States,BI Analyst
2024,Mid Level,Full Time,Business Intelligence,65000,Medium,Remote,United States,BI Analyst
2024,Entry Level,Full Time,Data Analyst,101520,Medium,Remote,United States,Data Analyst
2024,Entry Level,Full Time,Data Analyst,45864,Medium,Remote,United States,Data Analyst
2024,Entry Level,Full Time,Data Analyst,109800,Medium,Onsite,United States,Data Analyst
2024,Entry Level,Full Time,Data Analyst,54200,Medium,Onsite,United States,Data Analyst
2024,Mid Level,Full Time,Data Analytics Manager,189200,Medium,Onsite,United States,Analytics
2024,Mid Level,Full Time,Data Analytics Manager,102200,Medium,Onsite,United States,Analytics
2024,Mid Level,Full Time,Data Scientist,238400,Medium,Onsite,United States,Data Scientist
2024,Mid Level,Full Time,Data Scientist,140300,Medium,Onsite,United States,Data Scientist
2024,Entry Level,Full Time,Data Analyst,96978,Medium,Remote,United States,Data Analyst
2024,Entry Level,Full Time,Data Analyst,74598,Medium,Remote,United States,Data Analyst
2024,Mid Level,Full Time,Data Engineer,140900,Medium,Remote,United States,Data Engineer
2024,Mid Level,Full Time,Data Engineer,104100,Medium,Remote,United States,Data Engineer
2024,Entry Level,Full Time,Data Analyst,64500,Medium,Onsite,United States,Data Analyst
2024,Entry Level,Full Time,Data Analyst,46500,Medium,Onsite,United States,Data Analyst
2024,Senior Level,Full Time,Data Analyst,166210,Medium,Remote,United States,Data Analyst
2024,Senior Level,Full Time,Data Analyst,109350,Medium,Remote,United States,Data Analyst
2024,Senior Level,Full Time,Data Scientist,188750,Medium,Onsite,United States,Data Scientist
2024,Senior Level,Full Time,Machine Learning Modeler,207700,Medium,Onsite,Canada,Machine Learning Engineer
2024,Senior Level,Full Time,Machine Learning Modeler,133700,Medium,Onsite,Canada,Machine Learning Engineer
2024,Senior Level,Full Time,Data Analyst,93724,Medium,Remote,United States,Data Analyst
2024,Entry Level,Full Time,Data Engineer,180000,Medium,Onsite,United States,Data Engineer
2024,Entry Level,Full Time,Data Engineer,140000,Medium,Onsite,United States,Data Engineer
2024,Mid Level,Full Time,Data Analyst,59500,Large,Onsite,United States,Data Analyst
2024,Senior Level,Full Time,AI Engineer,202730,Medium,Onsite,United States,AI Engineer
2024,Senior Level,Full Time,AI Engineer,92118,Medium,Onsite,United States,AI Engineer
2024,Senior Level,Full Time,Data Engineer,130500,Medium,Onsite,United States,Data Engineer
2024,Mid Level,Full Time,Machine Learning Engineer,400000,Medium,Onsite,United States,Machine Learning Engineer
2024,Mid Level,Full Time,Machine Learning Engineer,65000,Medium,Onsite,United States,Machine Learning Engineer
2024,Senior Level,Full Time,Data Engineer,172469,Medium,Onsite,United States,Data Engineer
2024,Senior Level,Full Time,Data Engineer,114945,Medium,Onsite,United States,Data Engineer
2024,Mid Level,Full Time,Data Scientist,156450,Medium,Remote,United States,Data Scientist
2024,Senior Level,Full Time,Data Analyst,174000,Medium,Remote,United States,Data Analyst
2024,Mid Level,Contract,Data Scientist,130000,Medium,Onsite,United States,Data Scientist
2024,Mid Level,Contract,Data Scientist,110000,Medium,Onsite,United States,Data Scientist
2024,Senior Level,Full Time,Business Intelligence Engineer,202800,Medium,Onsite,United States,BI Analyst
2024,Senior Level,Full Time,Business Intelligence Engineer,115000,Medium,Onsite,United States,BI Analyst
2024,Senior Level,Full Time,Data Analyst,57692,Medium,Onsite,Canada,Data Analyst
2024,Mid Level,Full Time,Business Intelligence,178200,Medium,Onsite,United States,BI Analyst
2024,Mid Level,Full Time,Business Intelligence,87000,Medium,Onsite,United States,BI Analyst
2024,Mid Level,Full Time,Data Scientist,150650,Medium,Onsite,United States,Data Scientist
2024,Senior Level,Full Time,Data Engineer,158200,Medium,Onsite,United States,Data Engineer
2024,Senior Level,Full Time,Data Engineer,74100,Medium,Onsite,United States,Data Engineer
2024,Senior Level,Full Time,Data Engineer,231400,Medium,Onsite,United States,Data Engineer
2024,Senior Level,Full Time,Data Engineer,170955,Medium,Onsite,United States,Data Engineer
2024,Mid Level,Full Time,Data Analyst,101098,Medium,Onsite,United States,Data Analyst
2024,Mid Level,Full Time,Data Analyst,59469,Medium,Onsite,United States,Data Analyst
2024,Mid Level,Full Time,Data Scientist,131000,Medium,Onsite,United States,Data Scientist
2024,Entry Level,Full Time,Data Analyst,129200,Medium,Remote,United States,Data Analyst
2024,Senior Level,Full Time,Machine Learning Engineer,265000,Medium,Onsite,United States,Machine Learning Engineer
2024,Mid Level,Full Time,Data Engineer,213900,Medium,Remote,United States,Data Engineer
2024,Mid Level,Full Time,Data Engineer,126500,Medium,Remote,United States,Data Engineer
2024,Senior Level,Full Time,Machine Learning Engineer,66000,Medium,Remote,United States,Machine Learning Engineer
2024,Mid Level,Full Time,Business Intelligence Analyst,110000,Medium,Onsite,United States,BI Analyst
2024,Executive Level,Full Time,Data Scientist,219650,Medium,Remote,United States,Data Scientist
2024,Executive Level,Full Time,Data Scientist,136000,Medium,Remote,United States,Data Scientist
2024,Senior Level,Full Time,Data Scientist,210850,Medium,Onsite,United States,Data Scientist
2024,Mid Level,Full Time,AI Engineer,150000,Medium,Remote,United States,AI Engineer
2024,Mid Level,Full Time,AI Engineer,90200,Medium,Remote,United States,AI Engineer
2024,Senior Level,Full Time,Business Intelligence,194000,Medium,Remote,United States,BI Analyst
2024,Senior Level,Full Time,Business Intelligence,168000,Medium,Remote,United States,BI Analyst
2024,Executive Level,Full Time,Data Scientist,197689,Medium,Onsite,United States,Data Scientist
2024,Executive Level,Full Time,Data Scientist,152311,Medium,Onsite,United States,Data Scientist
2024,Senior Level,Full Time,Machine Learning Engineer,140100,Medium,Onsite,United States,Machine Learning Engineer
2024,Senior Level,Full Time,AI Engineer,236872,Medium,Onsite,United States,AI Engineer
2024,Senior Level,Full Time,AI Engineer,148045,Medium,Onsite,United States,AI Engineer
2024,Mid Level,Full Time,Data Scientist,143896,Medium,Onsite,United States,Data Scientist
2024,Mid Level,Full Time,Data Scientist,99208,Medium,Onsite,United States,Data Scientist
2024,Senior Level,Full Time,Machine Learning Engineer,25000,Medium,Onsite,United States,Machine Learning Engineer
2024,Executive Level,Full Time,Data Scientist,209700,Medium,Onsite,United States,Data Scientist
2024,Senior Level,Full Time,Data Scientist,148500,Medium,Remote,United States,Data Scientist
2024,Mid Level,Full Time,Data Engineer,142000,Medium,Remote,United States,Data Engineer
2024,Mid Level,Full Time,Data Engineer,129500,Medium,Remote,United States,Data Engineer
2024,Senior Level,Full Time,Data Engineer,159550,Medium,Onsite,United States,Data Engineer
2024,Mid Level,Full Time,Machine Learning Engineer,245400,Medium,Onsite,United States,Machine Learning Engineer
2024,Mid Level,Full Time,Machine Learning Engineer,139000,Medium,Onsite,United States,Machine Learning Engineer
2024,Entry Level,Full Time,Data Analyst,156000,Medium,Onsite,United States,Data Analyst
2024,Mid Level,Full Time,Analytics Engineer,195000,Medium,Onsite,United States,Analytics
2024,Executive Level,Full Time,Data Scientist,250900,Medium,Onsite,United States,Data Scientist
2024,Executive Level,Full Time,Data Scientist,173100,Medium,Onsite,United States,Data Scientist
2024,Senior Level,Full Time,Business Intelligence,170000,Medium,Onsite,United States,BI Analyst
2024,Senior Level,Full Time,Business Intelligence,150000,Medium,Onsite,United States,BI Analyst
2024,Mid Level,Full Time,Data Engineer,157500,Medium,Onsite,United States,Data Engineer
2024,Mid Level,Full Time,Data Engineer,149900,Medium,Onsite,United States,Data Engineer
2024,Mid Level,Full Time,Data Analytics Specialist,130000,Medium,Remote,United States,Analytics
2024,Mid Level,Full Time,Data Analytics Specialist,91000,Medium,Remote,United States,Analytics
2024,Senior Level,Full Time,Data Analyst,149925,Medium,Onsite,United States,Data Analyst
2024,Senior Level,Full Time,Data Analyst,91260,Medium,Onsite,United States,Data Analyst
2024,Senior Level,Full Time,Machine Learning Engineer,209700,Medium,Onsite,United States,Machine Learning Engineer
2024,Senior Level,Full Time,Data Engineer,170200,Medium,Remote,United States,Data Engineer
2024,Mid Level,Full Time,Data Scientist,157144,Medium,Onsite,United States,Data Scientist
2024,Senior Level,Full Time,Data Scientist,160769,Medium,Onsite,Canada,Data Scientist
2024,Senior Level,Full Time,Data Scientist,115384,Medium,Onsite,Canada,Data Scientist
2024,Senior Level,Full Time,Data Engineer,154000,Medium,Onsite,United States,Data Engineer
2024,Mid Level,Full Time,Machine Learning Engineer,200000,Medium,Onsite,Canada,Machine Learning Engineer
2024,Mid Level,Full Time,Machine Learning Engineer,160000,Medium,Onsite,Canada,Machine Learning Engineer
2024,Senior Level,Full Time,Data Analytics Lead,250000,Medium,Remote,United States,Analytics
2024,Senior Level,Full Time,Data Scientist,385000,Medium,Remote,United States,Data Scientist
2024,Entry Level,Full Time,Business Intelligence Analyst,142136,Medium,Onsite,United States,BI Analyst
2024,Entry Level,Full Time,Business Intelligence Analyst,123596,Medium,Onsite,United States,BI Analyst
2024,Mid Level,Full Time,Data Scientist,285200,Medium,Remote,United States,Data Scientist
2024,Mid Level,Full Time,Data Scientist,168600,Medium,Remote,United States,Data Scientist
2024,Senior Level,Full Time,Data Engineer,180500,Medium,Onsite,United States,Data Engineer
2024,Senior Level,Full Time,Data Engineer,96200,Medium,Onsite,United States,Data Engineer
2024,Senior Level,Full Time,Machine Learning Engineer,278000,Medium,Onsite,United States,Machine Learning Engineer
2024,Senior Level,Full Time,Data Analyst,86220,Medium,Onsite,United States,Data Analyst
